"carrier";"origin";"destination";"year";"passengers"
" CM";"IAD";" PTY";2010;29180
" CM";"JFK";" PTY";2010;44987
" CM";"LAX";" PTY";2010;66095
" CM";"MCO";" PTY";2010;88299
" CM";"MIA";" PTY";2010;126017
" CM";"PTY";" IAD";2010;32648
" CM";"PTY";" JFK";2010;43801
" CM";"PTY";" LAX";2010;65539
" CM";"PTY";" MCO";2010;90496
" CM";"PTY";" MIA";2010;119916
" CM";"PTY";" SJU";2010;55405
" CM";"SJU";" PTY";2010;56284
" CO";"ABE";" EWR";2010;1093
" CO";"ABQ";" DEN";2010;149
" CO";"ABQ";" EGE";2010;83
" CO";"ABQ";" EWR";2010;105
" CO";"ABQ";" IAH";2010;21479
" CO";"ABQ";" LAS";2010;167
" CO";"ABQ";" LAX";2010;156
" CO";"ABQ";" PHX";2010;155
" CO";"ACA";" CLT";2010;119
" CO";"ACA";" EWR";2010;1613
" CO";"ACA";" IAH";2010;22781
" CO";"ACA";" MSY";2010;39
" CO";"ACT";" DEN";2010;207
" CO";"ACT";" SWO";2010;167
" CO";"ACY";" EWR";2010;281
" CO";"ADW";" DEN";2010;39
" CO";"ADW";" MCI";2010;25
" CO";"AGS";" ATL";2010;9
" CO";"ALB";" BOS";2010;158
" CO";"ALB";" EWR";2010;573
" CO";"AMA";" IAH";2010;173
" CO";"AMS";" BGR";2010;341
" CO";"AMS";" BOS";2010;187
" CO";"AMS";" EWR";2010;74843
" CO";"AMS";" IAH";2010;55246
" CO";"AMS";" MSY";2010;215
" CO";"ANC";" IAH";2010;22924
" CO";"ANC";" NRT";2010;183
" CO";"ANC";" PDX";2010;4017
" CO";"ANC";" SEA";2010;86671
" CO";"ANU";" EWR";2010;28431
" CO";"ARN";" CLE";2010;168
" CO";"ARN";" EWR";2010;51737
" CO";"ARN";" SWF";2010;161
" CO";"ATH";" EWR";2010;28076
" CO";"ATL";" BWI";2010;114
" CO";"ATL";" EWR";2010;56384
" CO";"ATL";" FLL";2010;55
" CO";"ATL";" IAD";2010;159
" CO";"ATL";" IAH";2010;59652
" CO";"ATL";" MSY";2010;261
" CO";"ATL";" PIT";2010;51
" CO";"ATL";" RDU";2010;120
" CO";"ATL";" TPA";2010;144
" CO";"ATW";" EWR";2010;141
" CO";"AUA";" EWR";2010;84530
" CO";"AUA";" IAH";2010;6549
" CO";"AUA";" LGA";2010;3962
" CO";"AUA";" PHL";2010;174
" CO";"AUS";" ABE";2010;64
" CO";"AUS";" DFW";2010;344
" CO";"AUS";" EWR";2010;80791
" CO";"AUS";" GSO";2010;78
" CO";"AUS";" IAH";2010;320164
" CO";"AUS";" IND";2010;110
" CO";"AUS";" LBB";2010;146
" CO";"AUS";" LGB";2010;190
" CO";"AUS";" LNK";2010;158
" CO";"AUS";" MHK";2010;150
" CO";"AUS";" RIC";2010;110
" CO";"AUS";" SWF";2010;97
" CO";"AUS";" SWO";2010;149
" CO";"BCN";" BGR";2010;808
" CO";"BCN";" BOS";2010;1233
" CO";"BCN";" EWR";2010;45822
" CO";"BCN";" SWF";2010;740
" CO";"BDA";" EWR";2010;54057
" CO";"BDL";" EWR";2010;753
" CO";"BFF";" DEN";2010;152
" CO";"BFI";" BOS";2010;50
" CO";"BFI";" LGB";2010;109
" CO";"BFI";" MDW";2010;57
" CO";"BFI";" SFO";2010;62
" CO";"BFS";" EWR";2010;44936
" CO";"BGR";" EWR";2010;2694
" CO";"BGR";" IAH";2010;172
" CO";"BHM";" IAH";2010;203
" CO";"BHX";" BOS";2010;161
" CO";"BHX";" EWR";2010;50337
" CO";"BJX";" IAH";2010;13054
" CO";"BJX";" LAX";2010;3109
" CO";"BNA";" DFW";2010;92
" CO";"BNA";" IAH";2010;249
" CO";"BNA";" MSY";2010;144
" CO";"BOG";" BWI";2010;234
" CO";"BOG";" EWR";2010;35737
" CO";"BOG";" IAH";2010;66676
" CO";"BOG";" LFT";2010;98
" CO";"BOG";" RIC";2010;237
" CO";"BOM";" EWR";2010;81328
" CO";"BOM";" ORD";2010;211
" CO";"BON";" EWR";2010;4046
" CO";"BON";" IAH";2010;9870
" CO";"BOS";" ABE";2010;65
" CO";"BOS";" ATH";2010;203
" CO";"BOS";" AUS";2010;117
" CO";"BOS";" BDL";2010;78
" CO";"BOS";" BOM";2010;264
" CO";"BOS";" BRU";2010;157
" CO";"BOS";" BWI";2010;208
" CO";"BOS";" CLE";2010;33052
" CO";"BOS";" DFW";2010;114
" CO";"BOS";" DTW";2010;64
" CO";"BOS";" EWR";2010;218950
" CO";"BOS";" IAH";2010;229991
" CO";"BOS";" LAX";2010;152
" CO";"BOS";" LFT";2010;114
" CO";"BOS";" LGA";2010;44
" CO";"BOS";" LHR";2010;171
" CO";"BOS";" MDW";2010;54
" CO";"BOS";" MHT";2010;91
" CO";"BOS";" MKC";2010;56
" CO";"BOS";" MSP";2010;57
" CO";"BOS";" MSY";2010;328
" CO";"BOS";" OAK";2010;47
" CO";"BOS";" YYZ";2010;120
" CO";"BPT";" IAH";2010;558
" CO";"BQN";" BOS";2010;159
" CO";"BQN";" EWR";2010;47465
" CO";"BRO";" IAH";2010;138
" CO";"BRS";" EWR";2010;37450
" CO";"BRU";" BWI";2010;213
" CO";"BRU";" EWR";2010;64854
" CO";"BRU";" IAD";2010;136
" CO";"BTR";" DCA";2010;159
" CO";"BTR";" IAH";2010;810
" CO";"BTR";" MSY";2010;159
" CO";"BTV";" EWR";2010;76
" CO";"BUF";" ATW";2010;121
" CO";"BUF";" BWI";2010;120
" CO";"BUF";" CLE";2010;130
" CO";"BUF";" CVG";2010;120
" CO";"BUF";" DTW";2010;277
" CO";"BUF";" EWR";2010;556
" CO";"BUF";" FLL";2010;125
" CO";"BUF";" MCI";2010;124
" CO";"BUF";" MSP";2010;121
" CO";"BUF";" PVD";2010;118
" CO";"BWI";" BOS";2010;222
" CO";"BWI";" BUF";2010;124
" CO";"BWI";" CLE";2010;404
" CO";"BWI";" CRP";2010;112
" CO";"BWI";" DCA";2010;73
" CO";"BWI";" DFW";2010;55
" CO";"BWI";" EWR";2010;5643
" CO";"BWI";" IAH";2010;186865
" CO";"BWI";" LFT";2010;283
" CO";"BWI";" LGA";2010;547
" CO";"BWI";" MDW";2010;51
" CO";"BWI";" MSY";2010;238
" CO";"BWI";" PHL";2010;308
" CO";"BWI";" PIE";2010;52
" CO";"BWI";" ROC";2010;151
" CO";"BWI";" SFO";2010;106
" CO";"BWI";" TPA";2010;151
" CO";"BWI";" YYZ";2010;109
" CO";"BZE";" AUS";2010;152
" CO";"BZE";" EWR";2010;3017
" CO";"BZE";" IAH";2010;65048
" CO";"BZE";" SAT";2010;25
" CO";"CAK";" SYR";2010;141
" CO";"CCS";" EWR";2010;666
" CO";"CCS";" HOU";2010;69
" CO";"CCS";" IAH";2010;40397
" CO";"CCS";" LFT";2010;131
" CO";"CDG";" ALB";2010;158
" CO";"CDG";" AUS";2010;399
" CO";"CDG";" CLE";2010;304
" CO";"CDG";" EWR";2010;114800
" CO";"CDG";" IAH";2010;58035
" CO";"CDG";" SWF";2010;497
" CO";"CDG";" SYR";2010;194
" CO";"CHS";" EWR";2010;255
" CO";"CKB";" EWR";2010;144
" CO";"CKB";" SYR";2010;138
" CO";"CLE";" ABQ";2010;149
" CO";"CLE";" ATW";2010;151
" CO";"CLE";" BDL";2010;139
" CO";"CLE";" BFI";2010;56
" CO";"CLE";" BOS";2010;36951
" CO";"CLE";" BPT";2010;287
" CO";"CLE";" BUF";2010;128
" CO";"CLE";" BWI";2010;234
" CO";"CLE";" CDG";2010;161
" CO";"CLE";" CLT";2010;153
" CO";"CLE";" CMH";2010;227
" CO";"CLE";" COS";2010;460
" CO";"CLE";" CUN";2010;19670
" CO";"CLE";" CVG";2010;138
" CO";"CLE";" DEN";2010;48559
" CO";"CLE";" DFW";2010;191
" CO";"CLE";" DTW";2010;271
" CO";"CLE";" EGE";2010;81
" CO";"CLE";" EWR";2010;155506
" CO";"CLE";" FLL";2010;69001
" CO";"CLE";" IAH";2010;258463
" CO";"CLE";" IND";2010;92
" CO";"CLE";" JAX";2010;248
" CO";"CLE";" LAS";2010;177491
" CO";"CLE";" LAX";2010;142484
" CO";"CLE";" LCH";2010;97
" CO";"CLE";" LGA";2010;38851
" CO";"CLE";" MCI";2010;217
" CO";"CLE";" MCO";2010;121619
" CO";"CLE";" MDW";2010;52
" CO";"CLE";" MIA";2010;4264
" CO";"CLE";" MKC";2010;103
" CO";"CLE";" MSP";2010;153
" CO";"CLE";" MSY";2010;131
" CO";"CLE";" ORD";2010;84
" CO";"CLE";" PBI";2010;8938
" CO";"CLE";" PHX";2010;82892
" CO";"CLE";" PIE";2010;237
" CO";"CLE";" RSW";2010;64574
" CO";"CLE";" SAN";2010;2837
" CO";"CLE";" SAT";2010;173
" CO";"CLE";" SEA";2010;23512
" CO";"CLE";" SFO";2010;65013
" CO";"CLE";" SJC";2010;20
" CO";"CLE";" SJU";2010;5690
" CO";"CLE";" TLH";2010;156
" CO";"CLE";" TPA";2010;65442
" CO";"CLE";" TUS";2010;159
" CO";"CLE";" YYZ";2010;51
" CO";"CLL";" GEG";2010;116
" CO";"CLL";" MCI";2010;155
" CO";"CLL";" MCO";2010;52
" CO";"CLL";" OKC";2010;158
" CO";"CLL";" SEA";2010;97
" CO";"CLT";" ATL";2010;64
" CO";"CLT";" EWR";2010;73991
" CO";"CLT";" IAD";2010;98
" CO";"CLT";" IAH";2010;34333
" CO";"CLT";" LGA";2010;156
" CO";"CLT";" MCO";2010;153
" CO";"CLT";" MSY";2010;148
" CO";"CLT";" TPA";2010;327
" CO";"CMH";" AUS";2010;84
" CO";"CMH";" EWR";2010;262
" CO";"CMH";" IAH";2010;47660
" CO";"CNS";" GUM";2010;646
" CO";"COS";" DEN";2010;925
" CO";"CPH";" BOS";2010;159
" CO";"CPH";" EWR";2010;48963
" CO";"CPH";" PHL";2010;167
" CO";"CRP";" IAH";2010;825
" CO";"CTS";" GUM";2010;655
" CO";"CUN";" AUS";2010;377
" CO";"CUN";" BWI";2010;101
" CO";"CUN";" CLE";2010;20674
" CO";"CUN";" DFW";2010;197
" CO";"CUN";" EFD";2010;263
" CO";"CUN";" EWR";2010;134768
" CO";"CUN";" IAH";2010;320069
" CO";"CUN";" MSY";2010;319
" CO";"CUN";" ORF";2010;168
" CO";"CUN";" PHL";2010;306
" CO";"CUN";" SAT";2010;410
" CO";"CUN";" SWF";2010;141
" CO";"CUR";" EWR";2010;2701
" CO";"CVG";" BUF";2010;121
" CO";"CVG";" CLE";2010;184
" CO";"CVG";" EWR";2010;285
" CO";"CVG";" IAH";2010;127
" CO";"CVG";" MKC";2010;55
" CO";"CVG";" MKE";2010;38
" CO";"CVG";" MSY";2010;153
" CO";"CVG";" PHL";2010;53
" CO";"CVG";" PIT";2010;48
" CO";"CVG";" SYR";2010;138
" CO";"CVG";" TPA";2010;342
" CO";"CYB";" IAH";2010;79
" CO";"CZM";" AUS";2010;167
" CO";"CZM";" CRP";2010;145
" CO";"CZM";" EWR";2010;1688
" CO";"CZM";" IAH";2010;70281
" CO";"CZM";" SAT";2010;162
" CO";"DAL";" DFW";2010;56
" CO";"DCA";" BPT";2010;160
" CO";"DCA";" BTR";2010;317
" CO";"DCA";" CRP";2010;101
" CO";"DCA";" DFW";2010;118
" CO";"DCA";" EWR";2010;297
" CO";"DCA";" HOU";2010;114
" CO";"DCA";" IAH";2010;277819
" CO";"DCA";" LCH";2010;115
" CO";"DCA";" MSY";2010;584
" CO";"DCA";" PIT";2010;66
" CO";"DCA";" PVD";2010;154
" CO";"DCA";" SHV";2010;158
" CO";"DCA";" TPA";2010;153
" CO";"DEL";" CLE";2010;0
" CO";"DEL";" EWR";2010;90308
" CO";"DEN";" ACT";2010;212
" CO";"DEN";" AUS";2010;160
" CO";"DEN";" BDL";2010;112
" CO";"DEN";" CLE";2010;46557
" CO";"DEN";" DFW";2010;212
" CO";"DEN";" DTW";2010;156
" CO";"DEN";" EGE";2010;356
" CO";"DEN";" EWR";2010;145110
" CO";"DEN";" GUC";2010;197
" CO";"DEN";" HDN";2010;196
" CO";"DEN";" IAH";2010;324572
" CO";"DEN";" LAS";2010;514
" CO";"DEN";" LAX";2010;818
" CO";"DEN";" MKE";2010;47
" CO";"DEN";" PDX";2010;147
" CO";"DEN";" PHX";2010;152
" CO";"DEN";" SAN";2010;308
" CO";"DEN";" SAT";2010;122
" CO";"DEN";" SEA";2010;139
" CO";"DEN";" SFO";2010;784
" CO";"DEN";" STL";2010;43
" CO";"DFW";" AUS";2010;175
" CO";"DFW";" BWI";2010;204
" CO";"DFW";" DTW";2010;142
" CO";"DFW";" EWR";2010;126093
" CO";"DFW";" IAH";2010;85462
" CO";"DFW";" MKC";2010;100
" CO";"DFW";" MKE";2010;57
" CO";"DFW";" MSY";2010;141
" CO";"DFW";" OKC";2010;40
" CO";"DFW";" ORF";2010;84
" CO";"DFW";" PDX";2010;158
" CO";"DFW";" PHL";2010;54
" CO";"DFW";" PIE";2010;187
" CO";"DFW";" PVD";2010;51
" CO";"DFW";" RDU";2010;64
" CO";"DFW";" SWF";2010;98
" CO";"DTW";" ATW";2010;123
" CO";"DTW";" BNA";2010;85
" CO";"DTW";" BUF";2010;280
" CO";"DTW";" BWI";2010;63
" CO";"DTW";" CLE";2010;445
" CO";"DTW";" DEN";2010;153
" CO";"DTW";" DFW";2010;284
" CO";"DTW";" EWR";2010;1280
" CO";"DTW";" FLL";2010;131
" CO";"DTW";" IAH";2010;134051
" CO";"DTW";" MDW";2010;49
" CO";"DTW";" MSP";2010;178
" CO";"DTW";" ORD";2010;207
" CO";"DTW";" PIE";2010;52
" CO";"DTW";" PIT";2010;153
" CO";"DTW";" TPA";2010;130
" CO";"DUB";" BGR";2010;235
" CO";"DUB";" EWR";2010;88475
" CO";"EDI";" BGR";2010;137
" CO";"EDI";" EWR";2010;79358
" CO";"EFD";" IAH";2010;925
" CO";"EGE";" DEN";2010;208
" CO";"EGE";" EWR";2010;8844
" CO";"EGE";" IAH";2010;13998
" CO";"EGE";" SAT";2010;167
" CO";"ELP";" AUS";2010;112
" CO";"ELP";" IAH";2010;4949
" CO";"EWR";" ABQ";2010;581
" CO";"EWR";" ACA";2010;1728
" CO";"EWR";" AMD";2010;409
" CO";"EWR";" AMS";2010;75230
" CO";"EWR";" ANU";2010;28466
" CO";"EWR";" ARN";2010;51401
" CO";"EWR";" ATH";2010;27566
" CO";"EWR";" ATL";2010;58198
" CO";"EWR";" ATW";2010;129
" CO";"EWR";" AUA";2010;86152
" CO";"EWR";" AUS";2010;77888
" CO";"EWR";" BCN";2010;52171
" CO";"EWR";" BDA";2010;52260
" CO";"EWR";" BFF";2010;152
" CO";"EWR";" BFS";2010;46099
" CO";"EWR";" BHX";2010;49394
" CO";"EWR";" BNA";2010;92
" CO";"EWR";" BOG";2010;35364
" CO";"EWR";" BOM";2010;80251
" CO";"EWR";" BON";2010;4310
" CO";"EWR";" BOS";2010;220308
" CO";"EWR";" BQN";2010;47636
" CO";"EWR";" BRS";2010;37976
" CO";"EWR";" BRU";2010;67499
" CO";"EWR";" BTR";2010;159
" CO";"EWR";" BTV";2010;49
" CO";"EWR";" BUF";2010;126
" CO";"EWR";" BZE";2010;2899
" CO";"EWR";" CCS";2010;823
" CO";"EWR";" CDG";2010;114755
" CO";"EWR";" CHS";2010;138
" CO";"EWR";" CLE";2010;156630
" CO";"EWR";" CLO";2010;301
" CO";"EWR";" CLT";2010;77899
" CO";"EWR";" CMH";2010;64
" CO";"EWR";" COS";2010;305
" CO";"EWR";" CPH";2010;48840
" CO";"EWR";" CUN";2010;134783
" CO";"EWR";" CUR";2010;2895
" CO";"EWR";" CVG";2010;338
" CO";"EWR";" CZM";2010;1691
" CO";"EWR";" DAL";2010;56
" CO";"EWR";" DCA";2010;456
" CO";"EWR";" DEL";2010;88759
" CO";"EWR";" DEN";2010;157453
" CO";"EWR";" DFW";2010;130240
" CO";"EWR";" DTW";2010;372
" CO";"EWR";" DUB";2010;90342
" CO";"EWR";" EDI";2010;78024
" CO";"EWR";" EGE";2010;10072
" CO";"EWR";" FCO";2010;62710
" CO";"EWR";" FLL";2010;343039
" CO";"EWR";" FMN";2010;160
" CO";"EWR";" FPO";2010;110
" CO";"EWR";" FRA";2010;80531
" CO";"EWR";" GCM";2010;15096
" CO";"EWR";" GJT";2010;105
" CO";"EWR";" GLA";2010;52828
" CO";"EWR";" GRU";2010;50174
" CO";"EWR";" GUA";2010;8726
" CO";"EWR";" GVA";2010;57822
" CO";"EWR";" HAM";2010;51670
" CO";"EWR";" HDN";2010;1540
" CO";"EWR";" HKG";2010;90438
" CO";"EWR";" HNL";2010;74774
" CO";"EWR";" IAH";2010;547969
" CO";"EWR";" IND";2010;321
" CO";"EWR";" JAX";2010;8884
" CO";"EWR";" LAS";2010;356494
" CO";"EWR";" LAX";2010;350825
" CO";"EWR";" LCA";2010;194
" CO";"EWR";" LFT";2010;173
" CO";"EWR";" LGA";2010;126
" CO";"EWR";" LGW";2010;95
" CO";"EWR";" LHR";2010;219706
" CO";"EWR";" LIM";2010;41957
" CO";"EWR";" LIR";2010;7487
" CO";"EWR";" LIS";2010;47962
" CO";"EWR";" MAD";2010;67574
" CO";"EWR";" MAN";2010;99187
" CO";"EWR";" MBJ";2010;27615
" CO";"EWR";" MCI";2010;801
" CO";"EWR";" MCO";2010;484306
" CO";"EWR";" MEX";2010;85524
" CO";"EWR";" MGA";2010;141
" CO";"EWR";" MIA";2010;224234
" CO";"EWR";" MKE";2010;105
" CO";"EWR";" MSP";2010;394
" CO";"EWR";" MSY";2010;74832
" CO";"EWR";" MTJ";2010;1908
" CO";"EWR";" MUC";2010;43717
" CO";"EWR";" MXP";2010;47233
" CO";"EWR";" MYR";2010;2147
" CO";"EWR";" NAS";2010;68466
" CO";"EWR";" NRT";2010;82068
" CO";"EWR";" OKC";2010;203
" CO";"EWR";" OMA";2010;631
" CO";"EWR";" ONT";2010;409
" CO";"EWR";" ORD";2010;180705
" CO";"EWR";" OSL";2010;59405
" CO";"EWR";" PBI";2010;257689
" CO";"EWR";" PDX";2010;81551
" CO";"EWR";" PEK";2010;90027
" CO";"EWR";" PHL";2010;60
" CO";"EWR";" PHX";2010;174401
" CO";"EWR";" PIE";2010;61
" CO";"EWR";" PIK";2010;161
" CO";"EWR";" PIT";2010;534
" CO";"EWR";" PLS";2010;155
" CO";"EWR";" POP";2010;44708
" CO";"EWR";" POS";2010;17693
" CO";"EWR";" PTY";2010;52690
